round,Organization,Nom de l'entreprise,Number of employees (last value) - Date,NACE Rev.2 Code principal,Ville,Code ISO Pays,Date de création,Total de l'Actif (Dernière année) mUSD (Taux de change à la dernière date de clôture)
first,Deutsche Post DHL Group,DEUTSCHE POST AG,43465,H - Transports et entreposage,BONN,DE,1995,57788.1791198254
first,DNB ASA,DNB ASA,43465,K - Activités financières et d'assurance,OSLO,NO,2003,303210.931699231
first,Dogan Holding,NA,NA,NA,NA,NA,NA,NA
first,Dogus Group,NA,NA,NA,NA,NA,NA,NA
first,Dow Jones & Company Inc.,DOW JONES & CO INC,39082,C - Industrie manufacturière,NEW YORK,US,18225,1955562
first,DP World,DP WORLD PLC,NA,H - Transports et entreposage,DUBAI,AE,2006,26513339
first,DSM,KONINKLIJKE DSM N.V.,43465,C - Industrie manufacturière,HEERLEN,NL,1902,15618.9528704882
first,DuPont,"DUPONT DE NEMOURS, INC.",43100,C - Industrie manufacturière,WILMINGTON,US,42347,187855
first,eBay Inc.,EBAY INC,43465,G - Commerce; réparation d'automobiles et de motocycles,SAN JOSE,US,35867,22819
first,Ecolab Inc.,ECOLAB INC,43465,C - Industrie manufacturière,SAINT PAUL,US,8815,20074.5
first,Ecopetrol S.A.,EMPRESA COLOMBIANA DE PETROLEOS - ECOPETROL S.A.,NA,C - Industrie manufacturière,BOGOTA,CO,1948,38546.636018565
first,Egon Zehnder,EGON ZEHNDER INTERNATIONAL AG,2019,K - Activités financières et d'assurance,ZURICH,CH,24985,n.d.
first,Emaar Properties PJSC,EMAAR PROPERTIES PUBLIC JOINT STOCK COMPANY,NA,L - Activités immobilières,DUBAI,AE,35604,30484.9736256925
first,EMBRAER SA,EMBRAER - EMPRESA BRASILEIRA DE AERONAUTICA S.A.,43465,C - Industrie manufacturière,SAO JOSE DOS CAMPOS,BR,2005,11294.9167076626
first,Emirates Group,EMIRATES GROUP,NA,NA,DUBAI,AE,NA,n.d.
first,Emirates NBD Bank,EMIRATES NBD BANK PJSC,43465,K - Activités financières et d'assurance,DUBAI CITY,AE,2007,136240.364853265
first,ENGIE Group,ENGIE,43465,"D - Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",COURBEVOIE,FR,1946,175988.878681898
first,Eni SpA,ENI S.P.A.,43465,B - Industries extractives,ROMA,IT,1953,135537.15329802
first,Ericsson,TELEFONAKTIEBOLAGET LM ERICSSON,43465,C - Industrie manufacturière,STOCKHOLM,SE,1876,30008.3744517937
first,Ernst & Young,ERNST & YOUNG EUROPE LLP,NA,"M - Activités spécialisées, scientifiques et techniques",LONDON,GB,39624,0.646463371753693
first,Essar Group,NA,NA,NA,NA,NA,NA,NA
first,Eurasian Resources Group Sàrl,EURASIAN RESOURCES GROUP SARL,2019,N - Activités de services administratifs et de soutien,LUXEMBOURG,LU,41407,n.d.
first,Facebook Inc.,"FACEBOOK, INC.",43465,J - Information et communication,MENLO PARK,US,38197,97334
first,FEMSA,FOMENTO ECONOMICO MEXICANO S.A.B. DE C.V.,NA,C - Industrie manufacturière,MONTERREY,MX,1936,29283.3365766071
first,Fluor Corporation,FLUOR CORP,43465,"M - Activités spécialisées, scientifiques et techniques",IRVING,US,36780,8913637
first,FTI Consulting,FTI CONSULTING INC,43465,"M - Activités spécialisées, scientifiques et techniques",WASHINGTON,US,30133,2379121
first,Fujitsu Limited,FUJITSU LIMITED,43555,C - Industrie manufacturière,TOKYO,JP,1935,27991.7249859627
first,Gazprom,PUBLIC JOINT STOCK COMPANY GAZPROM,43465,H - Transports et entreposage,MOSCOW,RU,1993,299557.512697615
first,GDF SUEZ,France,Euronext Paris,175988.878681898,1946,COURBEVOIE,"The Company is a distributor of natural gas. Net sales break down by activity as follows: international production and sale of gas and electricity, production and sale of gas and electricity in France, supply of energy service, environmental services: distribution of drinking water and waste water treatment, collection and treatment of ordinary and special waste, facility design and construction and exploration and production of natural gas and hydrocarbons.",43465
first,General Atlantic LLC,GENERAL ATLANTIC LLC,2018,K - Activités financières et d'assurance,GREENWICH,US,1981,n.d.
first,General Electric Company,GENERAL ELECTRIC COMPANY,43465,C - Industrie manufacturière,BOSTON,US,15/04/1892,309585
first,Generali,ASSICURAZIONI GENERALI SPA,43465,K - Activités financières et d'assurance,TRIESTE,IT,1831,590622.212618232
first,GIC Private Limited,GIC PRIVATE LIMITED,NA,K - Activités financières et d'assurance,SINGAPORE,SG,29728,n.d.
first,Glencore,GLENCORE PLC,43100,B - Industries extractives,ST HELIER,GB,2011,128672
first,GMR Group,NA,NA,NA,New-Dehli,IN,1978,NA
first,Godrej Industries Ltd,GODREJ INDUSTRIES LIMITED,43555,C - Industrie manufacturière,MUMBAI,IN,32209,2651.48979589902
first,Goldcorp Inc.,GOLDCORP INC,NA,C - Industrie manufacturière,VANCOUVER,CA,34424,16967
first,Goldman Sachs,"GOLDMAN SACHS GROUP, INC",43465,K - Activités financières et d'assurance,"NEW YORK, NY",US,33238,931798016
first,Google,ALPHABET INC.,43465,J - Information et communication,MOUNTAIN VIEW,US,42208,232792
first,Grupo Salinas,GRUPO SALINAS SA DE CV,2017,K - Activités financières et d'assurance,MEXICO CITY DELEGACION IZTAPALAPA,MX,32509,n.d.
first,Guggenheim Partners LLC,GUGGENHEIM CAPITAL LLC,2018,NA,CHICAGO,US,1996,n.d.
first,Gunvor Group,GUNVOR SA,2019,G - Commerce; réparation d'automobiles et de motocycles,GENEVE,CH,38706,n.d.
first,Hanwha Group,NA,NA,NA,Seoul,KOR,1952,NA
first,HCL Technologies Ltd,HCL TECHNOLOGIES LIMITED,43555,J - Information et communication,NEW DELHI,IN,1991,8468.10725843534
first,Heidrick & Struggles,HEIDRICK & STRUGGLES INTERNATIONAL INC,43465,N - Activités de services administratifs et de soutien,CHICAGO,US,24967,700629
first,HEINEKEN,HEINEKEN NV,43465,C - Industrie manufacturière,AMSTERDAM,NL,1873,48039.6442074776
first,Henkel AG & Co. KGaA,HENKEL AG & CO. KGAA,43465,C - Industrie manufacturière,DUSSELDORF,DE,1876,33918.35209167
first,Hero Group,NA,2019,NA,NEW DELHI,IN,1984,2600
first,Hewlett Packard Enterprise,HEWLETT PACKARD ENTERPRISE COMPANY,43404,C - Industrie manufacturière,SAN JOSE,US,42060,55493
first,Hilton Worldwide,HILTON WORLDWIDE HOLDINGS INC.,43465,I - Hébergement et restauration,MCLEAN,US,40255,13995
first,Hinduja Group of Companies,NA,2018,NA,MUMBAI,IN,1914,NA
first,Hitachi Ltd,"HITACHI, LTD.",43555,C - Industrie manufacturière,TOKYO,JP,1920,86788.6081855595
first,HNA Group Co. Ltd,"HNA GROUP CO., LTD.",43281,K - Activités financières et d'assurance,HAIKOU,CN,35901,168239.405800575
first,HSBC Bank Plc,HSBC HOLDINGS PLC,43465,K - Activités financières et d'assurance,LONDON,GB,33239,2558124
first,Huawei Technologies Co. Ltd,"HUAWEI TECHNOLOGIES CO., LTD.",43465,C - Industrie manufacturière,SHENZHEN,CN,32035,45711.4461160363
first,Hyundai Motor Company,NA,2018,NA,Seoul,KOR,1967,13500
first,Iberdrola,"IBERDROLA, S.A.",43465,"D - Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",BILBAO,ES,1992,129428.487054825
first,IBM Corporation,INTERNATIONAL BUSINESS MACHINES CORP,43465,J - Information et communication,ARMONK,US,4185,123382
first,IHS Markit,IHS MARKIT LTD.,43434,"M - Activités spécialisées, scientifiques et techniques",HAMILTON,BM,2007,16062.3
first,IKEA Group,IKEA AB,43343,"M - Activités spécialisées, scientifiques et techniques",ALMHULT,SE,05/2010,893.438408916429
first,Index Ventures,INDEX VENTURE MANAGEMENT US INC,2018,NA,SAN JOSE,US,2011,n.d.
first,Indorama Corporation,NA,NA,NA,JAKARTA,IDN,1976,12000
first,Industrial Development Corporation of South Africa Ltd (IDC),NA,NA,NA,NA,NA,NA,NA
first,Infosys Ltd,INFOSYS LIMITED,NA,J - Information et communication,BANGALORE,IN,1981,12250.4562162235
first,ING Group,ING GROEP NV,43465,K - Activités financières et d'assurance,AMSTERDAM,NL,33239,1015649.86179233
first,InterContinental Hotels Group Plc,INTERCONTINENTAL HOTELS GROUP PLC,43465,I - Hébergement et restauration,DENHAM,GB,2004,3753
first,International Flavors & Fragrances Inc. (IFF),INTERNATIONAL FLAVORS & FRAGRANCES INC,43465,C - Industrie manufacturière,NEW YORK,US,3628,12889395
first,Intesa Sanpaolo SpA,INTESA SANPAOLO,43465,K - Activités financières et d'assurance,TORINO,IT,35827,901940.999493718
first,Investcorp International Ltd,NA,NA,NA,Manama,BHR,1982,22200
first,Investec Ltd,INVESTEC PLC,NA,K - Activités financières et d'assurance,LONDON,GB,1974,29666.4812015877
first,"Iron Mountain Information Management, LLC",IRON MOUNTAIN INC,43465,H - Transports et entreposage,BOSTON,US,41816,11852247
first,Itaú Unibanco SA,NA,NA,NA,NA,NA,NA,NA
first,Jerónimo Martins SGPS SA,NA,NA,NA,NA,NA,NA,NA
first,Johannesburg Stock Exchange Ltd,JSE LTD,43465,K - Activités financières et d'assurance,SANDOWN,ZA,1887,2912.98856096342
first,Johnson & Johnson,JOHNSON & JOHNSON,43464,C - Industrie manufacturière,NEW BRUNSWICK,US,10/11/1887,152954
first,Johnson Controls,JOHNSON CONTROLS INTERNATIONAL PLC,43373,C - Industrie manufacturière,CORK,IE,41768,48797
first,Jones Lang LaSalle Inc.,JONES LANG LASALLE INC,43465,L - Activités immobilières,CHICAGO,US,35535,10025.5
first,JPMorgan Chase & Co.,JPMORGAN CHASE & CO,43465,K - Activités financières et d'assurance,"NEW YORK, NY",US,25139,2622532096
first,Jubilant Bhartia Group,NA,NA,NA,NA,NA,NA,NA
first,Kaiser Permanente,KAISER PERMANENTE INC,NA,K - Activités financières et d'assurance,PASADENA,US,1945,n.d.
first,Kcap Holdings,NA,NA,NA,NA,NA,NA,NA
first,Procter & Gamble,PROCTER & GAMBLE CO,43646,C - Industrie manufacturière,CINCINNATI,US,1952,115095
first,The Coca-Cola Company,COCA-COLA COMPANY (THE),43465,C - Industrie manufacturière,ATLANTA,US,7188,83216
first,S&P Global,S&P GLOBAL INC.,43465,J - Information et communication,NEW YORK,US,9495,9458
first,USM Holdings Limited,USM HOLDING AG,2019,"M - Activités spécialisées, scientifiques et techniques",MURI B. BERN,CH,9609,n.d.
first,The Financial Times,FINANCIAL TIMES LIMITED(THE),43100,J - Information et communication,LONDON,GB,10253,340.581807434082
first,The Economist,ECONOMIST NEWSPAPER LIMITED(THE),43190,J - Information et communication,LONDON,GB,10607,349.513897871494
first,Ringier AG,RINGIER AG,2019,J - Information et communication,ZOFINGEN,CH,11038,n.d.
first,Sberbank,SBERBANK of RUSSIA OAO,43465,K - Activités financières et d'assurance,MOSCOW,RU,15006,449074.863500427
first,Pfizer Inc.,PFIZER INC,43465,C - Industrie manufacturière,NEW YORK,US,15494,159422
first,The Dow Chemical Company,DOW CHEMICAL COMPANY (THE),43465,C - Industrie manufacturière,MIDLAND,US,17329,77378
first,The Daily Telegraph,TELEGRAPH MEDIA GROUP LIMITED,43100,J - Information et communication,LONDON,GB,17623,296.712652587891
first,Frankfurter Allgemeine Zeitung,FRANKFURTER ALLGEMEINE ZEITUNG GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,43100,J - Information et communication,FRANKFURT,DE,18244,526.910376424839
first,Teck Resources Limited,TECK RESOURCES LIMITED,43465,C - Industrie manufacturière,VANCOUVER,CA,18895,29049.1898572445
first,Agence France Presse (AFP),AGENCE FRANCE PRESSE,NA,J - Information et communication,PARIS,FR,19725,n.d.
first,Les Echos,LES ECHOS,43100,J - Information et communication,PARIS,FR,21186,102.758322527878
